fǐ,v,"visz, akar",FÌ,,~ PR fìi,,root-words
fidh,prep,mellett,FI,szőr,,,post-positions
fyiimmū,n,ruha,FI MU,szőr antróp ,BR fyiéa mu,,misc
fǐnn,n,választott,FÌ,,PR fìn,,root-words
fīr,v,küld,FÌ,visz + művelt.,PR fìra,,misc
fisya,adj,puha,FI,szőr,~ PR fii,,misc
fiyāgh,adv,mégis,FÌ,,,,misc
fiəh,n,"bátorság, mersz",FÌ SA,akar bánt,AN fyìi sa,,misc
fiənnaqh,n,zsákmány (gyereknek),FÌ NA,visz öl,BR fìenaxa,,misc
foa,n,sarok,FA,,PR faa,,body
foa,v,fordul,FA,láb,PR faa,,root-words
foannà,n,kisméretű állat,,,,,animals
fuoa,n,"könyök, térd",FA FA,láb > hajlik,AN fafaa,,body
fȳ,n,tojás,FU,,PR fu,,animals
fyair,adj,magas,FÁ RA,"hegy, csúcs",PR fá ra,,environment
fyair,n,tető,FÁ RA,"hegy, csúcs",PR fá ra,,environment
fyê,n,meleg,FÍ,,PR fí,,root-words
fyegh,n,felszín,FI,szőr,,,misc
fyī,n,szőr,FI,,PR fi,,root-words
fyifyi,adj,sűrű,FI FI,szőr szőr,,,misc
fyizyu,n,"fű, gyep",FI SU,szőr növény,fisu > fisyu > fizyu,,plants
fyoum,v,veszít,FÚ,üt,?,,misc
fyy̌,v,"dönt, választ",FÌ,,PR fì,,root-words
fẏyə,prep,miatt,FÌ,akar,,,post-positions
fẏyə qhē,conj,mert,FÌ,mert az,,,misc
fyı,prep,rajta (puha dolgon),FI,szőr,,,post-positions
fyəmwərâ,n,"selyem, vékony szövet",FI MU FI RÁ,,BR fyiéamu fiirâ,puha fekhely antróp szőr,misc
fyərúa,n,"ház, épület",FÍ RÚ,meleg benn,AN fyé rúa,,environment
fıwaí,n,bőr,FI WÁ,puha fül,feiwai,,animals
ghào,v,harap,NGÀ,,PR ngà,,root-words
ghadh,prep,"rajt, rajta",NGA,hát,,,post-positions
ghainyā,adj,szükséges,QHA,vadászik > éhes,,,misc
ghanào,v,érez,QHÙ NÀ,szag észrevesz,BR gàù nào,,misc
ghānn,n,hegy,NGA,,PR ngan,,root-words
ghào,pron,ki? mi?,QHÀ,,PR xà,,root-words
ghào fye,pron,miért,FÌ,akar,,,misc
ghā̀qh,pron,hova,QHÀ QHÙ,,,,misc
ghar,n,bolha,XÀ RA,harap ugrik,AN gà la,,animals
ghar,v,"bosszant, idegesít",XÀ RA,harap ugrik,AN gà la,,misc
gháh,n,tűz,NGA SÁ,harap fény,PR ñasá,,environment
ghasya,v,marakodik,NGA SA,harap bánt,,,society
ghasye,n,éget,NGA SÁ,harap fény,PR ngasyá,,environment
ghàu,n,szag,QHÙ,"szag, nyom",PR xù,,misc
ghaum,v,talál,QHÙ,nyom,,,misc
ghaẏa,adj,"szagos, követhető, érthető, felismerhető",QHÙ,,qhù + ia > ghauia > ghaẏa,,misc
gheir,v,zúg,,,,,misc
ghenn,conj,"úgyhogy, tehát, így",,,,,misc
ghī,n,gömb,NGI,,PR ngi,,root-words
ghia,n,egész,NGI,kör,,,misc
ghīr,v,forog,NGI,,PR ñira,,misc
ghiərēi,n,autó,QHÌ RA,fut ugrik,MD ghiər rēi,,environment
ghonao,v,"találkozik, együtt van, tapasztal",QHÙ NÀ,nyom észrevesz,,,misc
ghosyá,n,tegnap,QHÙ SÁ,nyom nap,,,time
ghòu wao,v,eljut,QHÙ WÀ,,,,misc
ghū,n,béka,NGU,,PR ngu,,root-words
ghǔnn,n,nyom,QHÙ,,PR xùn,,root-words
qhǔ,n,út,QHÙ,"szag, nyom",PR xùu,,root-words
ghūr,adj,szürkésbarna,QHU,egér,,,colors
ghy̌,v,fut,QHÌ,,PR xì,,root-words
ghòh,pron,te (desp.),NGU SÌ,hideg béka,PR ñusì,,misc
ngìa,adj,finom,NGÌ,máj,PR ngìa,,root-words
hái,n,fej,QHÁ,,PR xá,,root-words
hánghann,n,hegycsúcs,QHÁ NGA,fej gerinc > hegy feje,AN xáin gan,,environment
hânn,n,homlok,QHÁ,,PR xán,,root-words
hasya,n,szél,SA SA,,,,environment
hasyéi,n,szín,SÁ SÁ,nappal nappal,,,misc
hê,pron,ti,QHÍ,,PR xí,,root-words
headh,prep,előtt,QHÁ,fej,,,post-positions
hisyo,n,fészek,SI SU,,,,animals
hizya,v,rohan,QHÌ,fut,,,misc
hoadh,prep,mögött,QHÚ,farok,~ PR xúthá,,post-positions
hua,prep,után,QHÙ,,,,misc
huann,n,"osztályrész, juss",QHU NA,egér öl,AN qhua na,,society
huann ghā,v,jut valakinek,QHU NA,egér öl,,,society
hûdh,n,mögött,QHÚ,farok,PR xúthá,,root-words
hui,num,kettő,,,,,numerals
huígh,adj,hosszú,QHÚ QHÚ,,,,misc
huinádh,n,vízimadár,QHÚ NA,hosszú nyak,,,animals
huinádhə osyy̌,n,"gém, kócsag",,hosszú nyak csőr,,,animals
huinadhə rya,n,hattyú,,,,,animals
huiō,n,üreg (embernél kisebb),QHÙ,kicsi farok,BR qhú yò # qhú yì,,animals
huio fayáng,n,alagút (emberméretű),,sétál farok,qhú yì fa ra,,animals
húo,n,farok,QHÚ,,PR xú,,root-words
huào,n,"utolsó, végső",QHÚ,farok,PR xúà,,misc
hıghào,v,"leereszt, leenged",XÀ XI,harap esik,AN xi gà,,misc
idhuao,v,hagy,THÚ WÀ,,,,misc
iyi zyer,expr,néha,,néhány idő,iyi syeru,,time
iyiadh,adv,néhol,,néhány hely,,,post-positions
yìu,adj,kicsi,YÌ,,PR yìu,$,root-words
lā,v,történik,RA,ugrik,PR ra,$,root-words
lā,adj,nagy,RA,ugrik > magas > nagy,PR ra,$,root-words
lā,v,ugrik,RA,,PR ra,$,root-words
lānào,v,"ért, felfog",RA NÀ,ugrik + észrevesz,BR la nào,,misc
liào,adj,"krémszínű szőrű, szürkésrózsaszín",RI,szürke > hajnal,PR rià,,misc
liào,n,hajnal,RI,szürke,PR rià,,time
liào,adj,"szürkésrózsaszín, krémszínű szőr",RI ,hajnal,PR rià # riao,,colors
lilyà,n,holnap,RI RI,este nap,liào,,time
limūth,n,bagoly,RI MU THA,,,,animals
līnn,n,éjszaka,RI ,,PR rin,,root-words
linyê,n,szürkület,RI NÍ,éj szürkület,MA li nyê,,time
līr,n,"hely, ülőhely, fekvőhely",SÁ RI RA,idő ugrik,< syilīr,< syılīr,environment
lua,v,ás,RU,,PR rua,,root-words
lūng,adj,mély,RU,,PR rung,,root-words
lūnn,adj,gödör,RI~RU,éjszaka~gödör,PR run,,root-words
lūy,adj,mély,RU,,PR ruia,,root-words
lwadh,prep,lent,RU,mély,,,post-positions
lwaruo,adv,odalent,RU RÚ,,,,misc
lwoyə,n,tó,RU WÍ,mély,AN luwíi,,environment
lya,prep,rá,RA,,,,misc
ryâ,adj,szürke,RI ,éjszaka,AN ráyá # ri + ya > riya,,misc
lya,adj,"világosszürke, fehér",RI ,éjszaka,ria,,colors
lyā,v,hív,YA,,BR lalā,,misc
lyā,adj,világos,RI ,fehér,BR lalā,,colors
lyadh,prep,rajta,RA THÌ,ugrik itt,~ BR lalā,,misc
lyéi,n,ma,RI,nap,,,time
ly̌gh,n,"mélység, szakadék",RU,,rung,$ tone change onomatopoeic,root-words
lẏrái,n,alagút,RU RÁ,gödör,PR ru rá,,environment
lẏrái,n,padló,RU RÁ,,PR ru rá,,environment
mā,n,pocok,WA,,PR wa,,animals
mā,n,"mancs, kéz",MA,,ma,,root-words
mǎ,adj,jóllakott,MÀ,,màa,,root-words
mae,prep,vele,MÁ,"család, társaság",,,misc
maè,adj,finom,MÀ,,~ PR ngìa,,misc
maedh,n,otthon,MÁ,,,,misc
mǎgh,adv,jól,MÀ,,,,misc
mái,v,hall,WÁ,,PR wá,,root-words
mái,n,fül,WÁ,,PR wá,,root-words
mái,n,család,MÁ,,PR má,,root-words
màmao,adv,egyre,WÀ WÀ,megy megy,,,misc
mào,v,megy,WÀ,,PR wà,,root-words
māo ,adj,jószagú,MÀ,,,,misc
marā,v,eltapos,MA RA,mancs ugrik,,,misc
marəgh,n,szárny,MA RA,<> per. morgh?,,,animals
màu,n,valaki,MÙ,,PR mù,,root-words
mayào,n,ember (Felis cattus),MÙ,valaki,BR màu yào,,root-words
mê,adj,tele,MÍ,,mí,,root-words
mēath,n,"rend, közösség, igazság",MÁ,család,PR máa tu,,society
méi,n,testvér,MÁ,család ~ alom,PR míi,,misc
meinnà,n,emberméretű állat,,,,,animals
mèo,n,elégedettség,MÀ,,PR màu,,misc
mfyeàm,n,"küldönc, futár",FÌ,,MA fìefàm,,society
mì,conj,csak,,,,,misc
mī,n,csont,WI,,PR wi,,root-words
mìa,adj,rugalmas,MÌ,növény,PR mìa,,misc
miedh,prep,alatt,MÍ,"emlő, has",,,post-positions
mih,n,ág,WI SU,,AN wi éa su,,plants
mīsy,adj,szép,MÀ,"jóllakott, jó",,,misc
mô,v,ül,MÚ,,PR mú,,root-words
moi,v,"fürdik, úszik (vízben)",WÙ,hal,,,environment
móu,n,tyúk,MÚ,,PR múu,,root-words
msyie,n,veszélyes állat,MU SÍ,,,,animals
mū,n,"nagy állat, úr, antróp",MU,,PR mu,,root-words
muadh,adj,erős,MU,,,,misc
mūdh,n,sólyom,MU THA,nagy állat karom,AN mu tha,,animals
mui,n,ragadozó,MU,,PR mui,,root-words
muó zyỳra,n,csirke (fajnév),MÚ RA,balfasz gyöngytyúk,múu zyẏ·ra,,animals
mūsya,v,ordít,MU SA,,?,,misc
mwē,n,"nagy állat, úr, 2. antróp",MU,,,,animals
mwēho,n,antróp (Homo sapiens),MU QHU,egerek ura,AN muéa qhū,,misc
mwezyiào,n,boszorkány,MU SA YÀ,,mwēśiyaū,,religion
mwezyiào,n,gonosz szellem,MU SA YÀ,,mwēśiyaū,,religion
mwie,adj,felső,WÁ,,,,misc
mwiō,n,öregember,MU YÚ,,BR mu yó,,society
mwó,n,gyöngytyúk,MÚ,,múu,,animals
mwosyə qhīqhanng,n,"bagoly, macskabagoly",,darabokban kiköp,,,animals
mwẏ nōgh,n,örvös galamb,MU WÌ,,mu wì nu·gh,,animals
my̌,n,rigó,WÌ,,PR wì,,animals
mẏ,conj,de,,,,,misc
mẏ liara,n,szarka,WÌ RI RU,,,,animals
mẏ nōgh,n,galamb,WÌ,,,,animals
mẏ yánng,n,szajkó,WÌ YA,rigó beszél,,,animals
mẏ zyūr,n,harkály,,rigó vörös,,,animals
mya,v,tartozik vhova > birtokol,MÁ,,má,,root-words
myào,adj,jó,MÀ,,PR mà,,misc
myǎ,n,"jóllakottság, béke",MÀ,,PR màa,,misc
myāgh,adv,így,MÀ,,màng,,misc
myǎgh,adj,elég,MÀ,,,,misc
myaió,n,lány,YÀ,,,,society
myǎng,interj,igen,MÀ,,PR màng,,root-words
myào,adj,jó,MÀ,,PR mà,,root-words
myê,n,tej,MÍ,,PR mí,,root-words
myê,v,szopik,MÍ,,PR mí,,root-words
myēao,n,"bölcs ember, tanító",YA YA,,$,,society
myī,v,ül $,MI,,PR mi,,root-words
myirao,v,elkezd,RA,ugrik,,,misc
myô,n,férfi,YÚ,,yú,,root-words
myu,n,pillanat,,,,,time
myy̌,n,porc,MÌ,,PR mì,,root-words
mẏyū,n,sirály,WÌ YU,rigó kacsa,,,animals
mıyǎ,n,felnőtt nő,MÍ YÀ,tej női,PR mí yàa,,society
nā,n,öl,NA,,PR na,,root-words
nǎ,v,tud,NÀ,,PR nàa,,root-words
nagh,n,zsákmány,NA QHA,,~ BR fìenaxa,,misc
nǎgh,n,nyak,NA,öl,PR na ñà,,body
nāgh,n,zsákmányállat,NA,,PR naxa,,animals
nāgh,n,halandó,NA,,PR naxa,,animals
nānao,v,gondolkodik,NÀ NÀ,,,,misc
nānào,n,megértés,NA NÀ,észrevesz öl,BR na nào,,misc
nǎnao,v,megért,NA NÀ,észrevesz öl,BR na nào,,misc
nann,n,lehetőség,NA,öl,,,misc
nànn,n,gondolat,NÀ,,,,misc
nǎnn,n,lény,NÀ,mozgás,PR nàn,,root-words
nannā,v,játszik [vadászót],NA NA,öl,,,misc
nànng,adj,"szaggatott, szabálytalan",NGÀ,harap,,,colors
nào,v,észrevesz,NÀ,,PR nà,,root-words
nàofy̌,n,isten,NÀ FÌ,tud akar,BR nào fỳ,,religion
naonnə syiao,expr,műveltség,YA,hagyomány ismerete,,,religion
naor,v,felélénkül,NÀ,,,,misc
nàyə,prep,mint,NÀ,kép,,,misc
nàyə ghào?,pron,milyen,NÀ QHÀ,,,,misc
néi,n,anya,NÁ,,PR níi # ná,,root-words
neirī,n,tegnap,NÍ RI,hajnal nap,,,time
nêmaiyō,n,egyszerre született testvér,NI MÁ,,BR ni máiū,,misc
nenn,n,vagina,NI,,PR nini,ninn?,root-words
nénn,n,nyugat,NÍ NA,,nína > nín > nen > nenn ,,misc
nennang,adj,tágas,NÍ NGA NGI,horizont hát gömb,BR néi ñañi,,misc
nenwa,num,öt,,nuen ua,,,numerals
nenwam,num,nyolcvan,,,,,numerals
ngā,n,hát,NGA,,PR nga,,root-words
ngǎ,v,képes valamire (+inf),NGÀ,harap,BR ngàa,,misc
ngadh,post,mentén,NGA,hát,,,post-positions
ngàdh,n,eunuch (eredetileg férfi),NGÙ,here,AN ñà thà # ngù thà,,society
ngann,v,elszakad,NGÀ,,AN ñà na,,misc
ngao,v,csinál,NGÀ,harap,,,misc
ghào,v,harap,NGÀ,,PR ngà,,root-words
ngār,n,fal,NGA RA,hát ugrik,,,misc
ngefye,v,hoz nekem,NGÍ FÌ,,,,misc
ngefyū,v,kell,FÌ WU,,,,misc
ngī,v,alszik,NGI,,~ PR ngi,,root-words
ngia,pron,én,NGÍ,,~ PR ngí yà # ngía,,root-words
ngidh,prep,körül,NGI,kör,,,post-positions
ngidhū,n,gyümölcs,NGI THU,gömb fa,BR ñiéa thu,,plants
nginn,n,"tekercs, alvó ember",NGI,,AN ñiu na,,body
ngǐnn,n,orvosság,NGÌ,máj,PR ngìn,,root-words
nginnīr,v,felébred,NGI NI,álom születés,,,misc
nginnı zyuarye,expr,girosz,,fűszeres hústekercs,,,misc
ngio,v,összetekeredik,NGI,,~ PR ngiu,,root-words
ngo,prep,ellen,NGÚ,ellenség,,,post-positions
ngô,n,ellenség,NGÚ,,ngú,,root-words
úa,adj,beteg,NGÚ,,PR ngúa,,root-words
nguayə fā ,n,fáradtság,NGÚ FA,a láb betegsége,,,misc
ói,n,betegség,NGÚ,,PR ngúi,,root-words
ngàu,n,here,NGÙ,,PR ngù,,root-words
ngy̌,n,máj,NGÌ,,PR ngì,,root-words
ngınèo,n,álom,NGI NÀ,alszik lát,AN ñi nèo,,misc
nī,prep,ki,NI,vagina,PR ni,,post-positions
nī,prep,elő,NI,vagina,PR ni,,post-positions
nyéa,n,horizont,NÍ,,PR nía,nyéa,root-words
niagh,n,tér,NÍ,hajnal > horizont,~ PR níi,,misc
niào,v,mozog,NÀ,,PR nài,,root-words
niao nyô,v,átgondol,NÀ NÚ ,újra gondol,MA niao nyô,,misc
niara,v,repül,NÍ RA,,,,animals
niaráng,n,madár,NÍ RA,,,,animals
niaryái,n,fecske,NÍ YÁ,repül nyúl,,,animals
nīgh,n,étel,NÌ,,PR nìxu,,root-words
nihādh,adv,tovább,NI QHÚ,,,,post-positions
nīr,n,"üreg, járat",NI,,,,misc
nira,n,rés,NI,,,,misc
nn,conj,hogy,,,,,misc
nndhào,n,eunuch (eredetileg nő),NÚ,szül,nú thà,,society
nnrəhua,n,bánat,NU,mosoly,AN nura qhua,,soul
no,conj,is,NÚ,,,,misc
nofyair,n,tökéletesség,NU FÁ RA,szív magas,AN nu fyáila,,misc
nôgh,adv,megint,NÚ,,núng,,misc
nōgh,n,patkány,NÙ,,PR nùxu,$,root-words
nōgh,n,vándorpatkány,NÙ,,PR nùxu,,animals
nói,v,teremt,NÚ,,PR núi,,religion
noíqh,pt,teremtő,NÚ,,MA nyóix,,religion
nōsy,prep,kívül,NÚ,szül,,,post-positions
nū,n,"középpont, közép",NU,,PR nu,,misc
nū,n,szív,NU,,PR nu,,root-words
nūdh,post,közepén,NU,,,,post-positions
nummu,n,"dögevő madár, keselyű, varjú",,šum. numma keselyű?,,,animals
nūn,num,hét,,,,,numerals
nūr,v,mosolyog (dorombol),NU,,PR nura # nuru $,,root-words
nnūy,adj,nagyszerű,NU,,PR nuia # nui $,,root-words
nǔy,adj,"kékesszürke, teltszürke",NÙ,patkány,,,colors
nǔy,adj,telt színű,NÙ,patkány,,,colors
nwēn,num,négy,,,,,numerals
nwēn ham,num,hatvannégy,,,,,numerals
nwēni,num,hat,,nwen ui,,,numerals
ny̌,v,eszik,NÌ,,PR nì,,root-words
nái,n,anyám,NÁ,,PR ná,,root-words
nyahōr,n,odú,NGI QHÚ RÚ,otthon farok bent,,,animals
nyāia,adj,fájdalmas,,,,,misc
nyainā,n,zsákmány madár,,,,,animals
nyām,v,születik,NÚ,szül,,,misc
nyan,interj,"kérlek, kérem",NÁ,anyám,~ AN nán,,misc
nyang,v,szeret,NÁ NGI,anya alszik,AN ná ñi,,misc
nyang qhen,pron,ugyanaz,[NA NGI] QHEN,nangi thái > nyang qhen ,,,misc
nyann,interj,szóval,,,,,misc
nyànn,n,"lény, élőlény",NÀ,,,,animals
nyânn,n,"kérés, kérlelés",NÁ,anyám,AN nán,,misc
nyanng,n,"szeretés, szeretet",NÁ NGI,anya alszik,< nyang,,misc
nyánngī,n,apró énekesmadár,NÍ NGI,„pufók madár”,,,animals
nyánngı zyūr,n,vörösbegy,,énekesmadár vörös,,,animals
nye,v,változik,NÍ,hajnal,,,misc
nyê,n,"szürkület, hajnal",NÍ,,PR ní,,root-words
nyedh,prep,"túl, messze",NÍ,hajnal > horizont,,,post-positions
néi,n,tér,NÍ,,PR níi,,root-words
nyer,n,ég,NÍ RA,tér fel,BR níra,,environment
nẏel,n,félidő,NU SÁ,,AN nu sáili,,time
nyô,n,szül,NÚ,,PR nú,$,root-words
nyóa,adj,új,NÚ,,PR núa,$,root-words
nói,n,teremt,NÚ,,PR núi,$,root-words
nẏr,v,megesz,NÌ,,nìr,,misc
nẏwagh,adv,biztosan,NÌ FÌ,eszik visz,,,misc
nyəméi,n,"föld, ország",NÍ MÁ,tér család,MA ńé méi # ~ MA ńé méi,,environment
nırōfyé,n,szoba,NI RÚ FÍ,meleg üreg,BR nirúo fyé,,misc
nırúo,n,"barlang, terem, üreg",NI RÚ,,PR ni rú,,misc
ó,post,ellen,NGÚ,ellenség,PR ngú,,misc
úo,n,fog,WÚ,,PR wú,úo,root-words
ōnen,num,tizenkettő,,,,,numerals
ōnenwa,num,tizenhárom,,,,,numerals
osyy̌,n,kés,WÚ SÌ,fog hideg,BR ù sỳ,,misc
osyy̌,n,csőr,WÚ SÌ,fog hideg,,,animals
"ouyā, wia-",adj,több,,,,,misc
qhā,v,vadászik,QHA,,PR xa,,root-words
qhānn,n,"vadász, ember",XA,vadászik,PR xan,,misc
qhar,n,"lejtő, domboldal",QHÁ,,AN qhái ru,,environment
qhar,v,lecsap,QHA,vadászik,AN qhái ru,,misc
qheir,pron,többi,THÌ,,,,misc
qheir,pron,másik,,,,,misc
qheirẏ màu,pron,"többiek, többi ember",THÌ,,,,misc
qhesyiqh,v,zörög,,[hangutánzó],,,misc
qhī,v,esik (eső),QHI,,PR xi,,root-words
qhi syḕ,num,ennyi,,ez sok,,,misc
qhiangī,n,unalom,QHI NGI,,,,misc
qhīdh,v,lemászik,THA XI,karom esik,AN xi ta,,misc
qhìm,n,"esik, zuhan",QHI,,PR ximù,,root-words
qhio,n,eső,QHI,,PR xiu,,root-words
qhiosyy̌,n,hó,XI SÌ,esik hideg,MA xiosyy̌,,misc
qhīqh,v,"tüsszent, kiköp",QHI,eső,AN qhiqhi,,body
qhīqh zyuái,expr,köp,,,,,body
qhiqhī,n,por,QHI,,MA qhī qhī,,environment
qhiyāgh,adv,rosszul,QHI,"eső, rossz idő",,,misc
qhiəl,v,gyorsan fut,QHÌ RA,fut ugrik,PR xìi ra,,body
qhoadh,n,vég,QHÚ + THÌ,,,,misc
qhoanā,n,zsákmány emlős,,,,,animals
qhòi pl. qhǔi,n,szó,QHÙ,nyom,PR xùi,,misc
qhor,v,elfárad,QHÙ,,,,misc
qhū,n,egér,QHU,,PR xu,,animals
qhua,n,"falat, darab",QHU,egér,AN qhua,,misc
qhȳr,n,ész,QHÌ,fut,,,misc
qhẏradh,adj,okos,QHÌ,fut,,,misc
qhı,conj,és,,,,,misc
rǎ,n,szexuális aktus,RÀ,,PR ràa,$,root-words
rāgh,adv,nagyon,RA,,,,misc
rái,n,"dolog, tárgy",RÁ,,PR rá,$,root-words
raiá,adj,sötétszürke,RÁ,föld,linn·ya,,colors
rào,v,szexel,RÀ,,PR rà,$,root-words
riuqh,adj,folytonos,RÌ,,,,misc
ro,prep,"belül, benne",RÚ,bél,,,post-positions
rong,adj,méretű,RÚ,,,,misc
rǔ,n,száj,RÙ,,PR rù,,root-words
lua,adj,fekete,RU,,PR rua,,colors
ruá,v,húst rág,RÙ,bél,PR rúa,,misc
ruāqh,n,varjú,,[hangutánzó?],rua,,animals
ruathua,adj,feketésbarna,RU THU,,,,colors
ruayıth,n,holló,YI,,ruayi·th,,animals
ruenngār,n,hatalmas alagút (emberi),RU NGA RA,mély fal,,,animals
ruia,adj,nedves,RU,,,,misc
ruó,n,bél,RÚ,,PR rú,,root-words
rwao zyūr,adj,teknőctarka szőr,,fekete vörös,,,colors
rwei,n,észak,,,,,misc
réi,n,kő,RÁ,,PR rái,$,root-words
ryeryei,n,anyag,RÁ RÁ,kő,,,environment
ryéı fıwaí,n,pikkely,RÁ FI WÁ,kő bőr,rá feiwai,,animals
rÿn,v,elbújik,RÌ,gyík,,,environment
syâ,pron,ő maga,,,,,misc
syā,n,harag,SA,,PR sa,,root-words
syā,v,fúj,SA,,PR sa,,root-words
syaáng,adj,örök,SÁ,csillag > állandó,PR sáang,,misc
syaēnha,n,áldozópap,SA YA NA QHA,veréb öl,BR saéa ya naqhā,a zsákmány szó megölője,religion
syagh wie,v,békén hagy,syāgh!,hagyj békén!,,,misc
syahī,n,Nap,SÁ YÍ,,$,,environment
syái,n,nappal,SÁ,,PR sá,,time
syamm,num,tizenhat,,,,,numerals
syamm ūa,num,tizenhét stb.,,,,,numerals
syanagh,n,áldozat,SÀ NA QHA,veréb öl,BR sàéa naqha,zsákmány lelke,religion
syânn,n,csillag,SÁ,csillag,PR sán,,environment
syányə,n,hajnal,SÁ NÍ,nappal szürkület,PR sá ní,,time
syào,n,lélek,SÀ,,~ PR sà,,root-words
syarû,n,levegő,SA RÚ,,,,environment
syaruí,n,levegővétel,SA RÚ,,,,misc
syàu,v,pisil,SÙ,,PR sù,,root-words
syàu,n,vizelet,SÙ,,PR sù,,root-words
sye,conj,ha,,,,,misc
sye,v,megmarad,SÁ,csillag > állandó,,,misc
syê,v,fél,SÍ,,PR sí,,misc
syḕ,num,sok,SI,,,,numerals
syea,v,"éles fénnyel ragyog, fénylik",SÁ,,,,environment
